Country Name,Country Code,Region,Income Group,CO2 emissions Tg,Population millions,GDP million US dollar
Comoros,COM,SubSahar,L,0.15401,0.759385,647.72
Tanzania,TZA,SubSahar,L,11.56205,52.234869,48219.73
Benin,BEN,SubSahar,L,6.31824,10.286712,9707.43
Chad,TCD,SubSahar,L,0.72973,13.569438,13922.22
Zimbabwe,ZWE,SubSahar,L,12.02043,15.411675,15891.05
Senegal,SEN,SubSahar,LM,8.85581,14.546111,15304.36
Bangladesh,BGD,S.Asia,L,73.18965,159.405279,172885
Cambodia,KHM,EasAsi&Pac,L,6.68494,15.27079,16702.61
Tajikistan,TJK,Eur&C.Asia,L,5.18881,8.362745,9236.31
Lesotho,LSO,SubSahar,LM,2.46789,2.145785,2614.58
Myanmar,MMR,EasAsi&Pac,L,21.63163,51.924182,65446.4
Kyrgyz Republic,KGZ,Eur&C.Asia,L,9.60754,5.8355,7468.1
South Sudan,SSD,SubSahar,L,1.49614,11.530971,15099.66
Pakistan,PAK,S.Asia,LM,166.29845,185.546257,244361
Mauritania,MRT,SubSahar,LM,2.70991,4.06392,5391.48
Kenya,KEN,SubSahar,L,14.28663,46.02425,61448.05
Ghana,GHA,SubSahar,LM,14.46632,26.962563,39086.63
Cote d'Ivoire,CIV,SubSahar,LM,11.045,22.53135,35372.6
Cameroon,CMR,SubSahar,LM,7.00397,22.239904,34942.95
India,IND,S.Asia,LM,2238.37714,1293.859294,2039130
Djibouti,DJI,MidEas&N.Afr,LM,0.7224,0.912164,1455.04
Kiribati,KIR,EasAsi&Pac,LM,0.06234,0.110458,178.87
"Yemen, Rep.",YEM,MidEas&N.Afr,LM,22.69873,26.246327,43228.58
Zambia,ZMB,SubSahar,LM,4.50308,15.620974,27150.63
Sao Tome and Principe,STP,SubSahar,LM,0.11368,0.191266,348.94
Nicaragua,NIC,LatAm&Car,LM,4.86244,6.013997,11880.44
Vietnam,VNM,EasAsi&Pac,LM,166.91084,92.544915,186205
Lao PDR,LAO,EasAsi&Pac,LM,1.95451,6.576397,13268.46
Solomon Islands,SLB,EasAsi&Pac,LM,0.20169,0.575504,1172.27
Uzbekistan,UZB,Eur&C.Asia,LM,105.21356,30.7577,63067.08
Sudan,SDN,SubSahar,LM,15.36473,37.737913,82151.59
Honduras,HND,LatAm&Car,LM,9.47186,8.809216,19756.49
Moldova,MDA,Eur&C.Asia,LM,4.93212,3.556397,7983.27
Bhutan,BTN,S.Asia,LM,1.00109,0.776448,1944.78
Philippines,PHL,EasAsi&Pac,LM,105.6536,100.102249,284585
"Congo, Rep.",COG,SubSahar,LM,3.09495,4.871101,14177.44
Ukraine,UKR,Eur&C.Asia,LM,227.299,45.271947,133503
West Bank and Gaza,PSE,MidEas&N.Afr,LM,,4.294682,12715.6
Papua New Guinea,PNG,EasAsi&Pac,LM,6.31824,7.755785,23060.05
